Location,Latitude,Longitude,Depth (m),Clay (%),Silt (%),Sand (%),Gravels (%),D10,D30,D60,CU,CC,1D inverted resistivity,Lab. Resistivity  (Oa),Moisture content (%),pH,Soil Type,Fine Soil (%) ,Sand (%),USCS Group Symbol
"Sungkai, Perak",3.997949399,101.3058092,1.5,44,45,11,0,0.2,0.4,0.13,65,6.15,194.5,453.49,38.64,0,Inorganic silt,0,0,MH
"Sungkai, Perak",3.997949399,101.3058092,2,3,5,92,0,0.56,0.1,0.19,3.39,0.94,214.9,4738.38,39.2,0,Inorganic silt,0,0,MH
"Sungkai, Perak",3.997949399,101.3058092,2.5,2,3,95,0,0.66,0.175,0.29,4.39,1.6,229.8,569.62,29.61,0,Inorganic silt,0,0,MH
"Cyberjaya, Selangor",2.921060883,101.6590511,0.5,18,12,7,0,0,0.3,0.4,0,0,13,64.17,23.23,4.42,Sandy,44,56,SC
"Cyberjaya, Selangor",2.921060883,101.6590511,1,5,3,92,0,0.6,0.29,0.46,7.63,3.6,12,249.24,221.91,0,Sandy,0,0,SC
"Cyberjaya, Selangor",2.921060883,101.6590511,3,7,7,86,0,0.1,0.18,0.33,33,9.82,14,6.18,17.55,0,Sandy,0,0,SC
"Bandar Puteri Jaya, Kedah",5.621962125,100.5341218,0.5,0,85,5,0,0.2,0.4,0.5,2.5,1.6,75,1133.26,33.39,4.59,Well-graded sand,18,82,SW
"Bandar Puteri Jaya, Kedah",5.621962125,100.5341218,1,0,85,5,0,0.2,0.4,0.6,3,1.33,8,3957.42,3.5,0,Well-graded sand,0,0,SW
"Bandar Puteri Jaya, Kedah",5.621962125,100.5341218,1.5,0,85,5,0,0.2,0.4,0.6,3,1.33,83,466.14,32.12,0,Well-graded sand,0,0,SW
"Bandar Puteri Jaya, Kedah",5.621962125,100.5341218,2,0,85,5,0,0.2,0.3,0.5,2.5,0.9,85,4335.96,23.61,0,Well-graded sand,0,0,SW
"Bandar Puteri Jaya, Kedah",5.621962125,100.5341218,2.5,12,83,5,0,0.2,0.3,0.5,2.5,0.9,9,777.9,3.59,0,Well-graded sand,0,0,SW
"Bandar Puteri Jaya, Kedah",5.621962125,100.5341218,3,1,84,6,0,0.2,0.4,0.6,3,1.33,92,2927.41,25.76,0,Well-graded sand,0,0,SW
"Marang, Terengganu",5.211422011,103.2020503,1,4,26,7,0,0.9,0.5,0.23,25.56,1.21,0,187.35,0,0,Inorganic silt,65,35,MH
"Marang, Terengganu",5.211422011,103.2020503,2,28,2,52,0,0.8,0.27,0.2,25,0.46,0,481.28,0,0,Inorganic silt,0,0,MH
"Marang, Terengganu",5.211422011,103.2020503,3,26,11,63,0,0.8,0.19,0.45,56.25,0.1,0,1492.6,0,0,Inorganic silt,0,0,MH
"Muar, Johor",2.062828366,102.5856303,0.5,1,85,5,0,0.2,0,0.1,3,1.33,818,191.48,36.11,0,Clayey Sand,38,62,SC
"Tronoh, Perak",4.423190208,100.9940125,0.5,12.91,7.9,8,0,0.1,0.6,0.2,2,18,434.6,534.35,19.84,0,Inorganic silt,72,28,MH
"Tronoh, Perak",4.423190208,100.9940125,1,7.26,4.74,88,0,0.3,0.12,0.32,16.67,15,444.5,92.59,27.82,0,Inorganic silt,0,0,MH
"Tronoh, Perak",4.423190208,100.9940125,1.5,11.3,3.23,85.47,0,0.1,0.175,0.41,41,74.7,484.9,88.46,14.4,0,Inorganic silt,0,0,MH
"Tronoh, Perak",4.423190208,100.9940125,2,23.4,18.57,58.3,0,0,0.12,0.77,0,0,543.5,191.9,16.25,0,Inorganic silt,0,0,MH
"Tronoh, Perak",4.423190208,100.9940125,2.5,16.95,8.7,74.98,0,0,0.53,0.17,0,0,61.4,1137.57,23.84,0,Inorganic silt,0,0,MH
"Tronoh, Perak",4.423190208,100.9940125,3,23.4,11.6,65,0,0,0.4,0.136,0,0,652.8,1429.85,13.44,0,Inorganic silt,0,0,MH
